Season,Date,Team Name,Opponent,Location,Outcome,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,End 1,End 2,End 3,End 4,End 5,End 6,End 7,End 8,End 9,End 10
2023-2024,10/23/2023,Monday_Hijinks,Mason,Denver Curling Club,Win,C,Red,Social Leauge,8,7,-1H,+1H,+3N,+1N,+1N,-1N,-1H,,,
2023-2024,10/23/2023,Subbing,Scrimmage,Denver Curling Club,Loss,D,Yellow,Social Leauge,8,6,-1H,-1H,+1H,-2N,+2H,-4N,,,,
2023-2024,10/24/2023,Subbing,Tues Comp,Denver Curling Club,Win,D,Yellow,Competitive League,8,6,+3H,+1N,-1N,+1H,+2N,+1N,,,,
2023-2024,10/26/2023,Thursday_Rookies,Stavely,Rock Creek Curling,Win,D,Yellow,Competitive League,8,8,+1H,-2N,+1H,-1N,+2H,+1N,-3N,+3H,,
2023-2024,10/27/2023,Raccoons,Thanks for the Memeories,Madison Curling Club,Win,4,Yellow,Bonspiel,8,8,+2N,-1N,+5H,-1N,+3H,-1N,+4H,+1N,,
2023-2024,10/28/2023,Raccoons,D. Nelson,Madison Curling Club,Win,2,Yellow,Bonspiel,8,8,-1N,+4H,-2N,+1H,0N,+1N,-3N,+2H,,
2023-2024,10/28/2023,Raccoons,Ramm,Madison Curling Club,Win,6,Yellow,Bonspiel,8,6,-1H,+4H,+1N,+1N,+1N,-1N,,,,
2023-2024,10/28/2023,Raccoons,Dietz,Madison Curling Club,Loss,1,Yellow,Bonspiel,8,6,-1H,-1H,0H,-2H,-1H,-1H,,,,
2023-2024,10/30/2023,Monday_Hijinks,Thomas,Denver Curling Club,Win,D,Red,Social Leauge,8,7,-4H,+3H,+2N,+1N,+1N,+4N,+3N,,,
2023-2024,11/2/2023,Thursday_Rookies,Marlow,Rock Creek Curling,Win,F,Yellow,Competitive League,8,7,+1H,+1N,-1N,-1H,+6H,+2N,-1N,,,
2023-2024,11/6/2023,Monday_Hijinks,Riley,Denver Curling Club,Win,C,Yellow,Social Leauge,8,6,+3H,+2N,+3N,-1N,+1H,+1N,,,,
2023-2024,11/7/2023,Subbing,Tues Comp,Denver Curling Club,Win,C,Red,Competitive League,8,7,-1N,+1H,+2N,-3N,+3H,+2N,-2N,,,
2023-2024,11/9/2023,Thursday_Rookies,Mansell,Rock Creek Curling,Loss,A,Yellow,Competitive League,8,4,-1H,-3H,-4H,-3H,,,,,,
2023-2024,11/10/2023,Subbing,FAC,Denver Curling Club,Win,A,Yellow,Social Leauge,8,8,+1N,+2N,-2N,-1H,+1H,+1N,-1N,+1H,,
2023-2024,11/11/2023,Subbing,Mixed Doubles,Rock Creek Curling,Win,F,Yellow,Social Leauge,8,8,-3N,+4H,-3N,+3H,-1N,+4H,-2N,+2H,,
2023-2024,11/13/2023,Monday_Hijinks,Wellen,Denver Curling Club,Win,B,Red,Social Leauge,8,7,-1N,-1H,+1H,+2N,+1N,+1N,,,,
2023-2024,11/16/2023,Thursday_Rookies,Henning,Rock Creek Curling,Loss,E,Green,Competitive League,8,9,-1H,+1H,+1N,-3N,+5H,-2N,+2H,-3N,-1H,
2023-2024,11/17/2023,Subbing,Buy Me a Margarita,Coyotes Curling Club,Win,B,Red,Bonspiel,8,8,+2H,-2N,+1H,-1N,+2H,-1N,+1H,+1N,,
2023-2024,11/18/2023,Subbing,Fiesta Friends,Coyotes Curling Club,Win,D,Red,Bonspiel,8,6,+3H,+6N,-1N,+1H,+2N,+4N,,,,
2023-2024,11/18/2023,Subbing,Un Borracho,Coyotes Curling Club,Win,C,Yellow,Bonspiel,8,6,+1H,-2N,+5H,+1N,-2N,+2H,,,,
2023-2024,11/19/2023,Subbing,Rockin Around,Coyotes Curling Club,Win,D,Red,Bonspiel,8,6,+2N,+2N,+1N,-1N,+2H,-2N,,,,
2023-2024,11/19/2023,Subbing,Waiting to Get Cut,Coyotes Curling Club,Win,C,Red,Bonspiel,8,9,-2H,-1H,+2H,-1N,+2H,-2N,+2H,-1N,+1H,
2023-2024,11/27/2023,Monday_Hijinks,Maule,Denver Curling Club,Win,C,Red,Social Leauge,8,6,-1N,+1H,+2N,-2N,+5H,+1N,,,,
2023-2024,11/30/2023,Thursday_Rookies,Sobering,Rock Creek Curling,Win,E,Green,Competitive League,8,8,-1N,-1H,+1H,0N,+1N,+1N,+2N,-1N,,
2023-2024,12/1/2023,Raccoons,Segovia,Denver Curling Club,Win,A,Yellow,Playdowns,8,7,-1N,+4H,+3N,+2N,-1N,-3H,-2H,,,
2023-2024,12/2/2023,Raccoons,Walsh,Denver Curling Club,Win,B,Red,Playdowns,8,7,0H,+3H,+1N,-1N,-3H,+3H,+2N,,,
2023-2024,12/2/2023,Raccoons,Stavely,Denver Curling Club,Win,D,Yellow,Playdowns,8,8,-1N,+1H,+2N,-2N,+1H,-2N,0H,+1H,,
2023-2024,12/3/2023,Raccoons,Smith,Denver Curling Club,Win,B,Yellow,Playdowns,8,7,+1N,0N,+1N,0N,+2N,-1N,+1H,,,
2023-2024,12/3/2023,Raccoons,Henning,Denver Curling Club,Loss,D,Red,Playdowns,8,9,-3H,-1H,+2H,+1N,-1N,+2H,-1N,+1H,-1N,
2023-2024,12/4/2023,Monday_Hijinks,White,Denver Curling Club,Win,A,Yellow,Social Leauge,8,6,+3N,+2N,-1N,-1H,+2H,+1N,,,,
2023-2024,12/4/2023,Raccoons,Wood,Denver Curling Club,Win,C,Red,Playdowns,8,9,-2H,-1H,+3H,-2N,+2H,-1N,+2H,-1N,+1H,
2023-2024,12/5/2023,Subbing,Tues Comp,Denver Curling Club,Win,D,Red,Competitive League,8,8,-2N,+1H,-1N,+3H,+2N,+1N,-2N,-1H,,
2023-2024,12/11/2023,Monday_Hijinks,Wilson,Denver Curling Club,Win,D,Red,Social Leauge,8,6,-1N,-1H,+5H,+1N,-1N,+4H,,,,
2023-2024,12/12/2023,Subbing,Tues Comp,Denver Curling Club,Win,A,Red,Competitive League,8,8,-1H,+2H,-2N,-1H,+2H,+1N,-1N,+1H,,
2023-2024,12/18/2023,Monday_Hijinks,Schrieber,Denver Curling Club,Win,B,Yellow,Social Leauge,8,8,+4H,+2N,+2N,+3N,+3N,+2N,+2N,+1N,,
2023-2024,1/2/2024,Subbing,Tues Comp,Denver Curling Club,Loss,D,Red,Competitive League,8,6,-1N,-1H,+3H,-2N,-4H,-5H,,,,
2023-2024,1/4/2024,Thursday_Rookies,Carle,Rock Creek Curling,Loss,B,Yellow,Competitive League,8,8,-2N,+4H,+1N,-2N,-2H,+2H,-2N,-2N,,
2023-2024,1/8/2024,Monday_Hijinks,Sleeper,Denver Curling Club,Win,B,Red,Social Leauge,8,6,+3H,+4N,+3N,+1N,-1N,+2H,,,,
2023-2024,1/12/2024,Monsters,Witschen,Wausau Curling Club,Win,8,Yellow,Bonspiel,8,6,-1N,+5H,+1N,-1N,+1H,+1N,,,,
2023-2024,1/13/2024,Monsters,White Heathers,Wausau Curling Club,Win,4,Yellow,Bonspiel,8,7,-1H,-2H,+3H,-1N,+3H,-2N,+4H,,,
2023-2024,1/13/2024,Monsters,Sandquist,Wausau Curling Club,Win,6,Red,Bonspiel,8,6,-1H,-1H,+3H,+1N,+2N,+1N,,,,
2023-2024,1/14/2024,Monsters,O'Connell,Wausau Curling Club,Loss,8,Red,Bonspiel,8,8,+1H,-1N,-1H,-1H,+1H,+1N,0N,+1N,,
2023-2024,1/15/2024,Monday_Hijinks,Brandshaw,Denver Curling Club,Win,A,Red,Social Leauge,8,7,-1H,+1H,-2N,+5H,-1N,+2H,-1N,,,
2023-2024,1/16/2024,Subbing,Tues Comp,Denver Curling Club,Loss,A,Yellow,Competitive League,8,8,-2N,+1H,-1N,+1H,-1N,+1H,+1N,-2N,,
2023-2024,1/18/2024,Thursday_Rookies,Schiestel,Rock Creek Curling,Loss,F,Yellow,Competitive League,8,6,-2H,+1H,-3N,+2H,-3N,+1H,,,,
2023-2024,1/19/2024,Mixed Chaos,Sobering,Denver Curling Club,Loss,C,Red,Playdowns,8,6,-1N,+1H,-4N,+1H,-1N,-3H,,,,
2023-2024,1/19/2024,Mixed Chaos,Fountain,Denver Curling Club,Win,B,Yellow,Playdowns,8,6,+1H,+2N,+2N,-1N,+1H,+3N,,,,
2023-2024,1/20/2024,Mixed Chaos,Falco,Denver Curling Club,Loss,D,Yellow,Playdowns,8,6,+1N,-1N,0H,-1H,-1H,-4H,,,,
2023-2024,1/20/2024,Mixed Chaos,Spielman,Denver Curling Club,Loss,C,Yellow,Playdowns,8,6,+2H,-1N,-2H,-2H,-3H,-3H,,,,
2023-2024,1/21/2024,Mixed Chaos,Carle,Denver Curling Club,Loss,A,Red,Playdowns,8,7,+1H,-1N,+1H,-1N,-2H,-1H,-1H,,,
2023-2024,1/21/2024,Mixed Chaos,Kizlyk,Denver Curling Club,Loss,D,Red,Playdowns,8,7,-2N,-2H,+2H,-1N,-1H,+1H,-1H,,,
2023-2024,1/22/2024,Monday_Hijinks,Lee,Denver Curling Club,Loss,A,Red,Social Leauge,8,8,+2H,+1N,+2N,-5N,+1H,-1N,+1H,-2N,,
2023-2024,1/22/2024,Mixed Chaos,Johnston,Denver Curling Club,Win,A,Yellow,Playdowns,8,7,+1H,+2N,+1N,-1N,+1H,-2N,+1H,,,
2023-2024,1/25/2024,Thursday_Rookies,Weldon,Rock Creek Curling,Loss,C,Green,Competitive League,8,6,+1N,+1N,+1N,-3N,+1H,-5N,,,,
2023-2024,1/29/2024,Monday_Hijinks,Doherty,Denver Curling Club,Tie,C,Yellow,Social Leauge,8,8,-1N,+1H,-1N,+1H,+1N,-1N,-2H,+2H,,
2023-2024,1/30/2024,Subbing,Tues Comp,Denver Curling Club,Win,C,Red,Competitive League,8,8,-1H,0H,+1H,+3N,-1N,-1H,+1H,+3N,,
2023-2024,2/1/2024,Thursday_Rookies,Spielman,Rock Creek Curling,Loss,F,Green,Competitive League,8,6,-2H,+1H,-4N,-1H,+1H,-1N,,,,
2023-2024,2/5/2024,Monday_Hijinks,Rein,Denver Curling Club,Win,D,Red,Social Leauge,8,6,+1H,+4N,+2N,-1N,+1H,0N,,,,
2023-2024,2/8/2024,Thursday_Rookies,Roselle,Rock Creek Curling,Win,C,Yellow,Competitive League,8,6,+2H,-3N,+4H,+3N,+3N,-1N,,,,
2023-2024,2/12/2024,Monday_Hijinks,Dunn,Denver Curling Club,Win,D,Yellow,Social Leauge,8,6,-1H,+3H,-1N,+4H,+4N,+3N,,,,
2023-2024,2/16/2024,Subbing,FAC,Denver Curling Club,Loss,A,Yellow,Social Leauge,8,6,+3H,-1N,+1H,-3N,-3N,+2H,-1N,,,
2023-2024,2/19/2024,Monday_Hijinks,Cunningham,Denver Curling Club,Win,C,Yellow,Social Leauge,8,6,-1H,+3H,+1N,-3N,+3H,-1N,,,,
2023-2024,2/22/2024,Thursday_Rookies,Andrews,Rock Creek Curling,Win,F,Yellow,Competitive League,8,8,-1H,+2H,-1N,+2H,+1N,+1N,0N,+2N,,
2023-2024,2/22/2024,Mixed Dreams,3rd Rock from the Pin,Denver Curling Club,Win,A,Red,Bonspiel,8,8,+1H,+1N,+1N,+2N,-2N,0H,+1H,+1N,,
2023-2024,2/23/2024,Mixed Dreams,Moon Golfers,Denver Curling Club,Win,C,Red,Bonspiel,8,6,+1H,+2N,+2N,+1N,+3N,-1N,,,,
2023-2024,2/23/2024,Mixed Dreams,Stars Dusters,Denver Curling Club,Win,B,Red,Bonspiel,8,6,+1H,+4N,+2N,-2N,+2H,-1N,,,,
2023-2024,2/24/2024,Mixed Dreams,Space Ghosts,Denver Curling Club,Loss,D,Yellow,Bonspiel,8,8,-1H,+3H,-1N,-1H,+2H,-2N,-2H,+1H,,
2023-2024,2/25/2024,Thursday_Rookies,Smith,Rock Creek Curling,Win,E,Green,Competitive League,8,6,+1N,+1N,+1N,+1N,+2N,+3N,,,,
2023-2024,2/29/2024,Thursday_Rookies,Biesecker,Rock Creek Curling,Win,D,Green,Competitive League,8,8,+1N,-2N,-1H,-1H,+1H,+2N,+3N,+3N,,
2023-2024,2/29/2024,Subbing,Thurs Comp,Rock Creek Curling,Win,F,Green,Competitive League,8,7,-1N,+3H,+1N,-1N,+1H,+1N,-1N,,,
2023-2024,3/14/2024,Thursday_Rookies,Brekke,Rock Creek Curling,Loss,B,Yellow,Competitive League,8,7,-2N,-1H,+1H,+1N,+1N,-2N,+1H,,,
2023-2024,3/15/2024,Subbing,Pixie Chicks,Coyotes Curling Club,Loss,C,Red,Bonspiel,8,7,-1N,-2H,+1H,+1N,-2N,+1H,+1H,,,
2023-2024,3/15/2024,Subbing,If Ida,Coyotes Curling Club,Win,D,Red,Bonspiel,8,7,-2N,+1H,-1N,+1H,-1N,+3H,-3N,,,
2023-2024,3/15/2024,Subbing,Spiel Sub,Coyotes Curling Club,Loss,D,Yellow,Bonspiel,8,7,-1N,-1H,+1H,+1N,+1N,+1N,-2N,,,
2023-2024,3/16/2024,Subbing,Walsh,Coyotes Curling Club,Loss,A,Yellow,Bonspiel,8,7,+3H,-4N,+1H,+1N,+1N,-2N,-1H,,,
2023-2024,3/18/2024,Monday_Hijinks,Dunn,Denver Curling Club,Loss,D,Red,Social Leauge,8,7,-1H,-1H,+1H,+1N,-3N,-1H,-2H,,,
2023-2024,4/3/2024,Raccoons,McGregor,Fargo Moorhead Curling Club,Win,A,Red,Playdowns,8,7,0N,+1N,-2N,+4H,-1N,+2H,-2N,,,
2023-2024,4/4/2024,Raccoons,Politano,Fargo Moorhead Curling Club,Win,E,Red,Playdowns,8,8,-1N,+1H,-2N,+2H,-2N,+1H,+1N,+1N,,
2023-2024,4/4/2024,Raccoons,Mason,Fargo Moorhead Curling Club,Win,A,Yellow,Playdowns,8,7,+1H,+5N,-2N,+1H,-1N,-1H,+1H,,,
2023-2024,4/5/2024,Raccoons,Aubrey,Fargo Moorhead Curling Club,Loss,F,Yellow,Playdowns,8,8,-1N,-1H,+2H,-1N,-2H,0H,-1H,-1H,,
2023-2024,4/5/2024,Raccoons,Lagasse,Fargo Moorhead Curling Club,Loss,B,Yellow,Playdowns,8,9,-1H,-1H,+1H,+1N,0N,-1N,0H,+1H,+2N,
2023-2024,4/8/2024,Subbing,Mon League,Rock Creek Curling,Win,E,Yellow,Social Leauge,8,7,+2H,-2N,+1H,-2N,+4H,+1N,+1N,,,
2023-2024,4/11/2024,Knuckleheads,Scieffer,Rock Creek Curling,Win,B,Green,Competitive League,8,8,-1H,-1H,+2H,+4N,-1N,+1H,-2N,+1H,,
2023-2024,4/15/2024,Subbing,Rein,Denver Curling Club,Win,D,Red,Social Leauge,8,8,+3N,+1N,+2N,-1N,+1H,+1N,-1N,+1H,,
2023-2024,4/18/2024,Knuckleheads,Stavely,Rock Creek Curling,Loss,E,Yellow,Competitive League,8,7,+2H,-3N,+1H,-1N,-1H,-2H,-1H,,,
2023-2024,4/20/2024,Subbing,Curling Capes,Denver Curling Club,Win,B,Yellow,Bonspiel,8,7,-1H,+3H,+4N,-1N,+1H,-2N,+4H,,,
2023-2024,4/20/2024,Subbing,Warren,Denver Curling Club,Win,A,Yellow,Bonspiel,8,7,+5H,+3N,+1N,-3N,-2H,+2H,+1N,,,
2023-2024,4/20/2024,Subbing,Infinity Stones,Denver Curling Club,Win,B,Yellow,Bonspiel,8,9,+1H,+1N,-2N,+2H,-1N,-1H,-2H,+2H,+1N,
2023-2024,4/21/2024,Subbing,Bradshaw,Denver Curling Club,Loss,B,Yellow,Bonspiel,8,6,+1N,-2N,+2H,+2N,-6N,-2H,,,,
2023-2024,4/22/2024,Subbing,Ernstberger,Denver Curling Club,Win,A,Yellow,Social Leauge,8,8,+1N,-1N,+1H,+1N,+1N,+2N,-1N,+4H,,
2023-2024,4/25/2024,Knuckleheads,Finlon,Rock Creek Curling,Win,E,Yellow,Competitive League,8,6,-1H,+4H,-1N,-1H,+1H,+5N,,,,
2023-2024,4/29/2024,Subbing,Copp,Denver Curling Club,Loss,B,Red,Social Leauge,8,8,-1N,-1H,-2H,+2H,+1N,+1N,-1N,-2H,,
2023-2024,5/2/2024,Knuckleheads,Simons,Rock Creek Curling,Win,C,Green,Competitive League,8,8,0N,+5N,+2N,+2N,-2N,-3H,+4H,+2N,,
2023-2024,5/6/2024,Subbing,Lane,Denver Curling Club,Win,D,Red,Social Leauge,8,6,-1N,+2H,+6N,+2N,+1N,+2N,,,,
2023-2024,5/9/2024,Knuckleheads,Wood,Rock Creek Curling,Win,B,Yellow,Competitive League,8,3,+5H,+7N,+3N,,,,,,,
2023-2024,5/13/2024,Subbing,Hannan,Denver Curling Club,Win,C,Red,Social Leauge,8,8,-2N,+1H,-2N,+5H,+3N,-1N,-1H,+3H,,
2023-2024,5/16/2024,Knuckleheads,Stevinson,Rock Creek Curling,Win,C,Green,Competitive League,8,7,+1N,+1N,+3N,-4N,+1H,+2N,+1N,,,
2023-2024,5/20/2024,Monday Fam,Horsey,Denver Curling Club,Loss,B,Red,Social Leauge,8,6,+2N,-1N,-3H,+1H,-3N,-1H,,,,
2023-2024,5/23/2024,Knuckleheads,Dunlop,Rock Creek Curling,Loss,B,Green,Competitive League,8,8,+2H,-2N,-1H,+1H,+2N,-5N,+3H,-1N,,
2023-2024,6/3/2024,Monday Fam,Walter,Denver Curling Club,Win,C,Red,Social Leauge,8,8,-1N,+3H,-2N,+2H,+1N,+2N,+3N,+2N,,
2023-2024,6/10/2024,Monday Fam,McLaren,Denver Curling Club,Win,D,Yellow,Social Leauge,8,3,+2H,+2N,+3N,,,,,,,
2023-2024,6/17/2024,Monday Fam,Lowell,Denver Curling Club,Loss,A,Red,Social Leauge,8,7,-1N,-1H,-3H,+3H,-1N,+1H,-2N,,,
2023-2024,6/21/2024,Subbing,Sobering,Denver Curling Club,Loss,B,Yellow,Bonspiel,8,8,-1N,-3H,+1H,-1N,+2H,+2N,+1N,-2N,,
2023-2024,6/22/2024,Subbing,Stay Salty,Denver Curling Club,Win,D,Yellow,Bonspiel,8,7,+1N,-1N,+2H,+1N,+3N,+1N,-2N,,,
2023-2024,6/22/2024,Subbing,Pomaika'i,Denver Curling Club,Win,C,Yellow,Bonspiel,8,8,-2N,+1H,+1N,+2N,-4N,-2H,+4H,+1N,,
2023-2024,6/22/2024,Subbing,Parts Unknown CC,Denver Curling Club,Win,D,Yellow,Bonspiel,8,7,-2N,+4H,+2N,-1N,+1H,+1N,-2N,,,
2023-2024,6/23/2024,Subbing,Yeah Buddy!!,Denver Curling Club,Win,A,Red,Bonspiel,8,7,+3H,-1N,+1H,+1N,+1N,-1N,-2H,,,
2023-2024,6/23/2024,Subbing,Peel-a-colada,Denver Curling Club,Win,C,Yellow,Bonspiel,8,6,+2H,+1N,+2N,0N,+2N,-1N,,,,
2023-2024,6/24/2024,Monday Fam,Kizlyk,Denver Curling Club,Win,C,Yellow,Social Leauge,8,6,+5H,-2N,+2H,+3N,+2N,+2N,,,,
2024-2025,7/5/2024,Subbing,TWSS,Coyotes Curling Club,Win,C,Yellow,Bonspiel,8,3,+4H,0N,+3N,,,,,,,
2024-2025,7/6/2024,Subbing,Cat Daddy,Coyotes Curling Club,Win,C,Yellow,Bonspiel,8,9,-4N,+2H,+1N,-1N,+1H,-3N,+2H,+2N,+1N,
2024-2025,7/6/2024,Subbing,We Don’t Need No Stinking Hammer,Coyotes Curling Club,Win,B,Yellow,Bonspiel,8,9,-1N,+1H,-1N,+1H,-1N,-2H,+2H,+1N,+1N,
2024-2025,7/7/2024,Subbing,High Risk-Low Reward,Coyotes Curling Club,Loss,C,Yellow,Bonspiel,8,8,-2N,+2H,-2N,-2H,-1H,+4H,+2N,-4N,,
2024-2025,9/19/2024,Cashspiel Babes,Uneo,Granite Curling Club - MB,Loss,7,Red,Bonspiel,8,6,-1N,-2H,+1H,-1N,-1H,-1H,,,,
2024-2025,9/21/2024,Cashspiel Babes,Strouse,Granite Curling Club - MB,Loss,3,Yellow,Bonspiel,8,8,-1H,0H,-1H,+1H,-1N,+1H,+1N,-1N,,
2024-2025,9/21/2024,Cashspiel Babes,McLeod,Granite Curling Club - MB,Loss,6,Yellow,Bonspiel,8,6,+1N,-1N,-2H,+1H,-3N,-1H,,,,
2024-2025,9/21/2024,Cashspiel Babes,Kaatz,Granite Curling Club - MB,Loss,7,Yellow,Bonspiel,8,8,0H,-1H,-2H,-1N,-1H,+1H,0N,-1N,,
2024-2025,10/3/2024,Thursday_Sobering,Blue Moons,Rock Creek Curling,Loss,A,Yellow,Competitive League,8,8,+1H,-3N,+1H,+2N,-3N,+1H,+1N,-1N,,
2024-2025,10/7/2024,Monday Fam,Mason,Denver Curling Club,Win,A,Yellow,Social Leauge,8,6,+1N,-1N,+2H,+4N,-1N,+1H,,,,
2024-2025,10/8/2024,Tuesday_Sobering,Danahey,Denver Curling Club,Loss,B,Red,Competitive League,8,8,-3H,+1H,-1N,+3H,-2N,+1H,-2N,-1N,,
2024-2025,10/10/2024,Thursday_Sobering,Electric Ice,Rock Creek Curling,Win,C,Green,Competitive League,8,7,-2N,-1H,+2H,+2N,+1N,-1N,+3H,,,
2024-2025,10/11/2024,Subbing,FAC,Denver Curling Club,Win,C,Red,Social Leauge,8,7,-3N,+1H,+1N,+1N,-2N,+2H,+2N,,,
2024-2025,10/14/2024,Monday Fam,Lewis,Denver Curling Club,Win,C,Red,Social Leauge,8,8,-1N,+1H,-1N,+2H,-2N,+2H,-3N,+3H,,
2024-2025,10/18/2024,Cashspiel Babes,Cousins,St. Paul Curling Club,Loss,3,Yellow,Bonspiel,8,8,-2N,+2H,-2N,+2H,-2N,+1H,+1N,-1N,,
2024-2025,10/18/2024,Cashspiel Babes,Shroeder,St. Paul Curling Club,Win,6,Yellow,Bonspiel,8,8,-3N,+1H,-1N,+2H,+2N,+2N,-3N,+2H,,
2024-2025,10/18/2024,Cashspiel Babes,Workin,St. Paul Curling Club,Loss,1,Yellow,Bonspiel,8,6,-2N,+2H,-1N,-1H,-1H,-1H,,,,
2024-2025,10/19/2024,Cashspiel Babes,McDonald,St. Paul Curling Club,Loss,8,Red,Bonspiel,8,8,+1N,+1N,-2N,-2H,-1H,+3H,-1N,-1H,,
2024-2025,10/21/2024,Monday Fam,Clark,Denver Curling Club,Tie,B,Red,Social Leauge,8,7,+1N,-1N,-1H,+1H,-3N,+2H,+1N,,,
2024-2025,10/22/2024,Tuesday_Sobering,Dudt,Denver Curling Club,Loss,A,Red,Competitive League,8,9,+1N,-2N,-3H,+1H,-1N,+1H,+2N,+2N,-1N,
2024-2025,10/24/2024,Thursday_Sobering,Frostbite Fliers,Rock Creek Curling,Loss,A,Green,Competitive League,8,7,+1H,+1N,-3N,-4H,+2H,-1N,-1H,,,
2024-2025,10/28/2024,Monday Fam,White,Denver Curling Club,Win,A,Yellow,Social Leauge,8,4,+1H,+1N,+1N,+4N,,,,,,
2024-2025,10/29/2024,Tuesday_Sobering,Wolfe,Denver Curling Club,Win,C,Yellow,Competitive League,8,7,+2N,0N,+2N,-1N,+3H,-1N,+4H,,,
2024-2025,10/31/2024,Thursday_Sobering,Azure Waves,Rock Creek Curling,Win,A,Green,Competitive League,8,6,+2N,+3N,-3N,+5H,+1N,+2N,,,,
2024-2025,11/4/2024,Monday Fam,Lee,Denver Curling Club,Loss,A,Red,Social Leauge,8,8,-2H,+1H,+2N,-1N,+2H,-2N,-2H,-1H,,
2024-2025,11/5/2024,Tuesday_Sobering,Wishart,Denver Curling Club,Win,B,Yellow,Competitive League,8,7,+1H,-1N,+1H,-1N,-1H,+3H,+1N,,,
2024-2025,11/7/2024,Thursday_Sobering,Glacier Guardians,Rock Creek Curling,Win,D,Yellow,Competitive League,8,6,-1N,+5H,+3N,-3N,+3H,-1N,,,,
2024-2025,11/8/2024,Rocky Mtn Lobstaaas,Dr Allans,Belfast Curling Club,Win,3,Yellow,Bonspiel,8,6,+4N,+3N,+1N,-1N,-1H,-1H,,,,
2024-2025,11/8/2024,Rocky Mtn Lobstaaas,"Curl, Drink, Repeat",Belfast Curling Club,Win,1,Red,Bonspiel,8,4,+4H,+3N,+2N,+2N,,,,,,
2024-2025,11/9/2024,Rocky Mtn Lobstaaas,Hit & Loberst Roll,Belfast Curling Club,Win,3,Yellow,Bonspiel,8,7,+1N,+1N,+2N,-1N,+1H,-4N,+1H,,,
2024-2025,11/10/2024,Rocky Mtn Lobstaaas,Irieites,Belfast Curling Club,Win,2,Red,Bonspiel,8,7,0N,+1N,-2N,+1H,+1N,+2N,-1N,,,
